titulo,preco,area,tipo_imovel,endereco,fonte,preco_m2
Imóvel Leilão 1,349671.4153011233,89.72251908184384,apartamento,Rua Exemplo 1,leilao,3897.2536535912136
Imóvel Leilão 2,286173.56988288154,68.4475315875105,casa,Rua Exemplo 2,leilao,4180.91877450697
Imóvel Leilão 3,364768.85381006927,59.69233999082124,apartamento,Rua Exemplo 3,leilao,6110.815120770252
Imóvel Leilão 4,452302.98564080254,98.35028866522603,apartamento,Rua Exemplo 4,leilao,4598.8984046645155
Imóvel Leilão 5,276584.6625276664,110.92998567487854,comercial,Rua Exemplo 5,leilao,2493.326406246011
Imóvel Leilão 6,276586.30430508195,107.93840357348596,casa,Rua Exemplo 6,leilao,2562.445757471095
Imóvel Leilão 7,457921.28155073914,54.82347430332084,comercial,Rua Exemplo 7,leilao,8352.649797734568
Imóvel Leilão 8,376743.47291529085,70.72362872446357,comercial,Rua Exemplo 8,leilao,5326.981656768043
Imóvel Leilão 9,253052.5614065048,89.93790294210692,casa,Rua Exemplo 9,leilao,2813.6364439072468
Imóvel Leilão 10,354256.00435859646,109.26635381367078,apartamento,Rua Exemplo 10,leilao,3242.132568665195
Imóvel Leilão 11,253658.23071875377,65.6247728646413,apartamento,Rua Exemplo 11,leilao,3865.2816557849774
Imóvel Leilão 12,253427.0246429743,74.43023070008549,casa,Rua Exemplo 12,leilao,3404.893714009182
Imóvel Leilão 13,324196.2271566034,46.809950779819154,apartamento,Rua Exemplo 13,leilao,6925.797223789687
Imóvel Leilão 14,108671.9755342202,44.113801277579874,casa,Rua Exemplo 14,leilao,2463.446186612147
Imóvel Leilão 15,127508.21674869672,104.37577467182594,casa,Rua Exemplo 15,leilao,1221.6265426494115
Imóvel Leilão 16,243771.24707590273,120.68720085712468,comercial,Rua Exemplo 16,leilao,2019.8599797213863
Imóvel Leilão 17,198716.88796655764,77.83969635258998,casa,Rua Exemplo 17,leilao,2552.8990640769075
Imóvel Leilão 18,331424.73325952736,110.10598693676073,comercial,Rua Exemplo 18,leilao,3010.051882554587
Imóvel Leilão 19,209197.5924478789,90.84908075142903,apartamento,Rua Exemplo 19,leilao,2302.6935519607696
Imóvel Leilão 20,158769.62986647084,60.64640736184627,apartamento,Rua Exemplo 20,leilao,2617.956063236742
Imóvel Leilão 21,446564.8768921554,90.84186816525242,apartamento,Rua Exemplo 21,leilao,4915.848671009269
Imóvel Leilão 22,277422.3699513464,126.14109699397908,apartamento,Rua Exemplo 22,leilao,2199.3020241816057
Imóvel Leilão 23,306752.8204687924,78.92521882670145,comercial,Rua Exemplo 23,leilao,3886.626163715036
Imóvel Leilão 24,157525.18137865432,126.93930967442019,apartamento,Rua Exemplo 24,leilao,1240.948779244839
Imóvel Leilão 25,245561.72754748174,1.4076468773076698,casa,Rua Exemplo 25,leilao,174448.38723839205
Imóvel Leilão 26,311092.2589709866,104.65707513125672,casa,Rua Exemplo 26,leilao,2972.4914305203647
Imóvel Leilão 27,184900.6422577697,82.61141204714514,casa,Rua Exemplo 27,leilao,2238.197334676347
Imóvel Leilão 28,337569.8018345672,71.02977948602398,comercial,Rua Exemplo 28,leilao,4752.510908484354
Imóvel Leilão 29,239936.1310081195,82.75282329606507,apartamento,Rua Exemplo 29,leilao,2899.4313601808985
Imóvel Leilão 30,270830.62502067233,20.372932561973215,apartamento,Rua Exemplo 30,leilao,13293.649512500086
Imóvel Leilão 31,239829.3387770603,73.40984336487465,apartamento,Rua Exemplo 31,leilao,3266.991561131903
Imóvel Leilão 32,485227.81845089374,90.7133771453524,comercial,Rua Exemplo 32,leilao,5349.021651717371
Imóvel Leilão 33,298650.2775262066,124.33682134224549,casa,Rua Exemplo 33,leilao,2401.9455725360035
Imóvel Leilão 34,194228.90710440997,64.45189345179058,casa,Rua Exemplo 34,leilao,3013.548504198583
Imóvel Leilão 35,382254.49121031887,55.74519191320437,apartamento,Rua Exemplo 35,leilao,6857.174190116551
Imóvel Leilão 36,177915.63500289776,64.9472886924639,casa,Rua Exemplo 36,leilao,2739.385101129588
Imóvel Leilão 37,320886.3595004755,107.46206353106223,casa,Rua Exemplo 37,leilao,2986.043157525282
Imóvel Leilão 38,104032.98761202244,89.86253328979053,comercial,Rua Exemplo 38,leilao,1157.690349954132
Imóvel Leilão 39,167181.39511015694,64.10719388698884,comercial,Rua Exemplo 39,leilao,2607.8414133189503
Imóvel Leilão 40,319686.12358691235,95.39802299340069,comercial,Rua Exemplo 40,leilao,3351.077030275849
Imóvel Leilão 41,373846.657999541,82.91232648044121,comercial,Rua Exemplo 41,leilao,4508.939428779995
Imóvel Leilão 42,317136.82811899704,109.05934971598668,apartamento,Rua Exemplo 42,leilao,2907.928838241632
Imóvel Leilão 43,288435.17176117597,58.93840718367943,comercial,Rua Exemplo 43,leilao,4893.840630308826
Imóvel Leilão 44,269889.6304410711,70.17013560206695,casa,Rua Exemplo 44,leilao,3846.2178835111326
Imóvel Leilão 45,152147.80096325726,68.23675540603527,apartamento,Rua Exemplo 45,leilao,2229.7045054079517
Imóvel Leilão 46,228015.57916052913,36.09455155603644,casa,Rua Exemplo 46,leilao,6317.174457938261
Imóvel Leilão 47,253936.12290402123,88.88360831193728,casa,Rua Exemplo 47,leilao,2856.9511041094515
Imóvel Leilão 48,405712.2226218916,87.83165816539668,casa,Rua Exemplo 48,leilao,4619.202587043169
Imóvel Leilão 49,334361.82895684615,80.15340369927382,comercial,Rua Exemplo 49,leilao,4171.523772232213
Imóvel Leilão 50,123695.9844637266,72.96238599874559,comercial,Rua Exemplo 50,leilao,1695.339081507741
